Attribute Name,Description,Unit Type,Unit Description,Example Value 1,Example Value 2,Required for
Color rendering index,Color rendering index of the component,Float,CRI,80,90,+ACI-Power Supply +AC0- Lighting +AC0- Obstacle beacon systems +AC0- Lighting beacons
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Area floodlights
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Apron elevated lights
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Lamps
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Infrared lamps
Power Supply +AC0- Lighting +AC0- Central battery+AC0-supplied emergency lighting systems +AC0- Emergency luminaires
Power Supply +AC0- Lighting +AC0- Self+AC0-contained emergency lighting systems +AC0- Emergency luminaires+ACI-
Color temperature,Color temperature of the component,Integer,Kelvin (K),3000,4000,+ACI-Power Supply +AC0- Lighting +AC0- Obstacle beacon systems +AC0- Lighting beacons
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Area floodlights
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Apron elevated lights
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Lamps
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Infrared lamps
Power Supply +AC0- Lighting +AC0- Central battery+AC0-supplied emergency lighting systems +AC0- Emergency luminaires
Power Supply +AC0- Lighting +AC0- Self+AC0-contained emergency lighting systems +AC0- Emergency luminaires+ACI-
Connector types,Types of connectors used by the component,String,Connector types,Plug,Terminal,+ACI-Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Surface and concealed wiring enclosures
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Service outlet poles
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Electric vehicle charging points+ACI-
Contractor,Name of the contractor responsible for the installation,String,Contractor name,ABC Electrical,Contractor Name,+ACI-Power Supply +AC0- Power transmission +AC0- High+AC0-voltage systems +AC0- High+AC0-voltage cables
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Low+AC0-voltage switches
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Power busbar trunking
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Busbar trunking tap+AC0-off units+ACI-
Cross+AC0-section,Cross+AC0-section of the component,String,Cross+AC0-section type,Round,Square,+ACI-Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Power busbar trunking
Power Supply +AC0- Power transmission +AC0- High+AC0-voltage systems +AC0- High+AC0-voltage cables
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Low+AC0-voltage switches+ACI-
End 1,Type of connection at the first end,String,Connector type,Plug,Terminal,+ACI-Power Supply +AC0- Power transmission +AC0- High+AC0-voltage systems +AC0- High+AC0-voltage cables
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Low+AC0-voltage switches
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Power busbar trunking+ACI-
End 2,Type of connection at the second end,String,Connector type,Plug,Terminal,+ACI-Power Supply +AC0- Power transmission +AC0- High+AC0-voltage systems +AC0- High+AC0-voltage cables
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Low+AC0-voltage switches
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Power busbar trunking+ACI-
Function,Function of the component,String,Function,Lighting,Power Distribution,+ACI-Power Supply +AC0- Cable arrangement +AC0- Low+AC0-voltage systems +AC0- Cable management and accessories
Power Supply +AC0- Cable arrangement +AC0- Low+AC0-voltage systems +AC0- Cable trays
Power Supply +AC0- Cable arrangement +AC0- Low+AC0-voltage systems +AC0- Cable protection products
Power Supply +AC0- Cable arrangement +AC0- High+AC0-voltage systems +AC0- Cable management and accessories
Power Supply +AC0- Cable arrangement +AC0- High+AC0-voltage systems +AC0- Cable brackets
Power Supply +AC0- Cable arrangement +AC0- Low+AC0-voltage systems +AC0- Cable brackets
Power Supply +AC0- Cable arrangement +AC0- High+AC0-voltage systems +AC0- Cable ladders
Power Supply +AC0- Cable arrangement +AC0- Low+AC0-voltage systems +AC0- Cable ladders+ACI-
Identifier,Unique identifier for the component,String,Component identifier,Component 1,Panelboard+AF8-001,+ACI-Power Supply +AC0- Transformers +AC0- High+AC0-voltage systems +AC0- High+AC0-voltage dry+AC0-type power transformers
Power Supply +AC0- Transformers +AC0- High+AC0-voltage systems +AC0- High+AC0-voltage liquid+AC0-immersed power transformers
Power Supply +AC0- Power transmission +AC0- High+AC0-voltage systems +AC0- Electrical protective devices
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage systems +AC0- Power conditioning equipment
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage systems +AC0- Energy meters
Power Supply +AC0- Power transmission +AC0- Uninterruptible power supply systems +AC0- Batteries
Power Supply +AC0- Power transmission +AC0- Uninterruptible power supply systems +AC0- Uninterruptible power supply (UPS) units
Power Supply +AC0- Lighting +AC0- Obstacle beacon systems +AC0- Lighting beacons
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Columns and column accessories
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Area floodlights
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Apron elevated lights
Power Supply +AC0- Lighting +AC0- External lighting systems +AC0- Control and indicator panels
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Light switches
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Lamps
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Infrared lamps
Power Supply +AC0- Lighting +AC0- General lighting systems +AC0- Occupancy detectors
Power Supply +AC0- Lighting +AC0- Central battery+AC0-supplied emergency lighting systems +AC0- Emergency luminaires
Power Supply +AC0- Lighting +AC0- Central battery+AC0-supplied emergency lighting systems +AC0- Control and indicator panels
Power Supply +AC0- Lighting +AC0- Self+AC0-contained emergency lighting systems +AC0- Emergency luminaires
Power Supply +AC0- Lighting +AC0- Self+AC0-contained emergency lighting systems +AC0- Control and indicator panels
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Standard socket outlets
Power Supply +AC0- Power transmission +AC0- Low+AC0-voltage distribution systems +AC0- Low+AC0-voltage cables
